PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.0195uM_(%)_TEST1,Activity_at_0.038uM_(%)_TEST1,Activity_at_0.08uM_(%)_TEST1,Activity_at_0.16uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_1.2uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.0195uM_(%)_TEST2,Activity_at_0.038uM_(%)_TEST2,Activity_at_0.08uM_(%)_TEST2,Activity_at_0.16uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_1.2uM_(%)_TEST2,Activity_at_2.6uM_(%)_TEST2,Activity_at_5uM_(%)_TEST2,Activity_at_19.5uM_(%)_TEST2,ACTIVITY_OUTCOME_TEST3,ACTIVITY_SCORE_TEST3,ASSAYDATA_COMMENT_TEST3,AC50_Qualifier_TEST3,AC50_uM_TEST3,pAC50_M_TEST3,Hill_Slope_TEST3,S0_(%)_TEST3,Sinf_(%)_TEST3,Num_Points_TEST3,Max_Activity_(%)_TEST3,Max_Activity_Conc_uM_TEST3,Max_Concentration_uM_TEST3,Activity_at_0uM_(%)_TEST3,Activity_at_0.000010uM_(%)_TEST3,Activity_at_0.000020uM_(%)_TEST3,Activity_at_0.000030uM_(%)_TEST3,Activity_at_0.000040uM_(%)_TEST3,Activity_at_0.000060uM_(%)_TEST3,Activity_at_0.000080uM_(%)_TEST3,Activity_at_0.00012uM_(%)_TEST3,Activity_at_0.00015uM_(%)_TEST3,Activity_at_0.00024uM_(%)_TEST3,Activity_at_0.0003uM_(%)_TEST3,Activity_at_0.0005uM_(%)_TEST3,Activity_at_0.0006uM_(%)_TEST3,Activity_at_0.001uM_(%)_TEST3,Activity_at_0.0012uM_(%)_TEST3,Activity_at_0.00195uM_(%)_TEST3,Activity_at_0.00235uM_(%)_TEST3,Activity_at_0.0038uM_(%)_TEST3,Activity_at_0.005uM_(%)_TEST3,Activity_at_0.008uM_(%)_TEST3,Activity_at_0.01uM_(%)_TEST3,Activity_at_0.016uM_(%)_TEST3,Activity_at_0.0195uM_(%)_TEST3,Activity_at_0.03uM_(%)_TEST3,Activity_at_0.038uM_(%)_TEST3,Activity_at_0.06uM_(%)_TEST3,Activity_at_0.08uM_(%)_TEST3,Activity_at_0.12uM_(%)_TEST3,Activity_at_0.16uM_(%)_TEST3,Activity_at_0.26uM_(%)_TEST3,Activity_at_0.3uM_(%)_TEST3,Activity_at_0.5uM_(%)_TEST3,Activity_at_0.6uM_(%)_TEST3,Activity_at_1.2uM_(%)_TEST3,Activity_at_2.6uM_(%)_TEST3,Activity_at_5uM_(%)_TEST3,Activity_at_19.5uM_(%)_TEST3,ACTIVITY_OUTCOME_TEST4,ACTIVITY_SCORE_TEST4,ASSAYDATA_COMMENT_TEST4,AC50_Qualifier_TEST4,AC50_uM_TEST4,pAC50_M_TEST4,Hill_Slope_TEST4,S0_(%)_TEST4,Sinf_(%)_TEST4,Num_Points_TEST4,Max_Activity_(%)_TEST4,Max_Activity_Conc_uM_TEST4,Max_Concentration_uM_TEST4,Activity_at_0uM_(%)_TEST4,Activity_at_0.000010uM_(%)_TEST4,Activity_at_0.000020uM_(%)_TEST4,Activity_at_0.000030uM_(%)_TEST4,Activity_at_0.000040uM_(%)_TEST4,Activity_at_0.000060uM_(%)_TEST4,Activity_at_0.000080uM_(%)_TEST4,Activity_at_0.00012uM_(%)_TEST4,Activity_at_0.00015uM_(%)_TEST4,Activity_at_0.00024uM_(%)_TEST4,Activity_at_0.0003uM_(%)_TEST4,Activity_at_0.0005uM_(%)_TEST4,Activity_at_0.0006uM_(%)_TEST4,Activity_at_0.001uM_(%)_TEST4,Activity_at_0.0012uM_(%)_TEST4,Activity_at_0.00195uM_(%)_TEST4,Activity_at_0.00235uM_(%)_TEST4,Activity_at_0.0038uM_(%)_TEST4,Activity_at_0.005uM_(%)_TEST4,Activity_at_0.008uM_(%)_TEST4,Activity_at_0.01uM_(%)_TEST4,Activity_at_0.016uM_(%)_TEST4,Activity_at_0.0195uM_(%)_TEST4,Activity_at_0.03uM_(%)_TEST4,Activity_at_0.038uM_(%)_TEST4,Activity_at_0.06uM_(%)_TEST4,Activity_at_0.08uM_(%)_TEST4,Activity_at_0.12uM_(%)_TEST4,Activity_at_0.16uM_(%)_TEST4,Activity_at_0.26uM_(%)_TEST4,Activity_at_0.3uM_(%)_TEST4,Activity_at_0.5uM_(%)_TEST4,Activity_at_0.6uM_(%)_TEST4,Activity_at_1.2uM_(%)_TEST4,Activity_at_2.6uM_(%)_TEST4,Activity_at_5uM_(%)_TEST4,Activity_at_19.5uM_(%)_TEST4
6,115950052,709072,Active,82,,,=,0.011,7.949,2,77,,<,0.02,7.71,1.5,0,-96.269,36,-97.355,2.6,5,-77.414,-90.16,-93.427,-94.2,-95.719,-96.64,-97.069,-97.355,-94.399,,2,77,,<,0.02,7.71,0.76,0,-95.563,18,-96.161,2.6,5,-68.939,-80.167,-84.646,-87.315,-90.627,-93.51,-95.465,-96.161,-93.173,,2,88,,=,0.002,8.81,0.91,2.966,-99.192,40,-99.149,5,5,,4.161,0.066,,2.127,,-5.96,,-8.936,,-19.133,,-22.838,,-43.875,,-56.777,,-70.758,,-86.405,,-91.556,,-93.812,,-96.398,,-97.243,,-97.826,,-98.516,-98.485,-98.827,-99.149,,2,86,,=,0.003,8.592,0.977,-5.031,-95.275,40,-98.203,5,5,,-3.126,-11.735,,-3.21,,-7.751,,-10.091,,-14.072,,-24.33,,-33.34,,-47.716,,-63.516,,-80.223,,-84.297,,-87.407,,-90.224,,-91.384,,-92.975,,-94.803,-95.693,-97.042,-98.203,
7,115950053,1967479,Active,69,,,=,0.181,6.741,2,71,,=,0.084,7.075,1.342,0,-87.714,36,-86.373,2.6,5,-10.209,-22.539,-42.828,-59.169,-75.776,-83.013,-85.805,-86.373,-84.578,,2,66,,=,0.279,6.554,1.5,0,-92.674,18,-89.474,5,5,-2.369,-1.568,-10.842,-28.682,-48.294,-70.04,-87.11,-89.378,-89.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,115950054,24818587,Active,65,,,=,0.333,6.478,2,64,,=,0.36,6.443,0.774,12.3,-96.881,36,-83.55,5,5,2.369,-4.185,-13.303,-23.894,-38.976,-51.332,-66.812,-77.822,-83.55,,2,64,,=,0.386,6.414,0.981,0.19,-89.017,18,-81.991,5,5,-6.668,-5.974,-12.884,-29.016,-40.446,-51.433,-67.047,-78.082,-81.991,,2,66,,=,0.25,6.603,0.935,-0.013,-96.533,39,-93.827,5,5,,-1.411,6.542,,-1.681,,-4.869,,-3.152,,2.529,,0.473,,-0.101,,0.055,,-3.049,,-2.902,,-7.778,,-13.917,,-25.903,,-35.212,,-58.002,,-65.504,-76.019,-85.179,-93.827,,2,65,,=,0.336,6.473,1.18,-8.662,-91.956,40,-91.46,5,5,,-4.921,-11.989,,-11.526,,-8.586,,-6.438,,-4.963,,-11.821,,-9.585,,-9.203,,-9.181,,-10.178,,-15.017,,-8.879,,-23.04,,-30.128,,-52.768,,-62.209,-75.742,-82.706,-91.46,
9,115950055,50944076,Active,76,,,=,0.032,7.495,2,74,,=,0.044,7.356,1.16,0,-75,32,-72.758,1.2,2.6,-16.975,-43.232,-41.104,-61.328,-69.958,-72.474,-72.758,-68.915,-56.96,,2,77,,<,0.02,7.71,0.993,0,-90.704,18,-91.394,2.6,5,-44.621,-67.22,-67.359,-80.943,-87.034,-89.784,-91.239,-91.394,-86.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,115950056,9583470,Active,73,,,=,0.099,7.003,2,73,,=,0.05,7.301,0.99,0,-93.626,36,-93.081,2.6,5,-29.03,-38.829,-56.833,-69.578,-79.738,-88.396,-91.829,-93.081,-89.08,,2,76,,=,0.023,7.639,1.028,0,-93.22,18,-94.317,2.6,5,-40.772,-62.137,-71.482,-80.811,-86.252,-90.587,-93.483,-94.317,-90.331,,2,77,,=,0.02,7.691,0.631,4.064,-101.522,40,-97.844,5,5,,-0.075,1.299,,3.536,,4.48,,-1.892,,-0.283,,-8.008,,-7.75,,-20.677,,-25.296,,-38.443,,-48.127,,-64.022,,-60.708,,-81.294,,-86.264,,-90.975,-95.062,-96.264,-97.844,,2,65,,=,0.304,6.518,0.964,-4.145,-91.867,39,-88.065,5,5,,-6.085,0.677,,-9.909,,-6.058,,-3.397,,-6.323,,-3.678,,-0.019,,-2.397,,23.446,,-8.395,,-8.468,,-15.638,,-21.2,,-35.339,,-50.517,,-59.346,-74.49,-79.882,-88.065,
11,115950057,2964931,Inconclusive,0,,,,,,2,62,,=,0.692,6.16,1.5,6.126,-44.305,31,-41.193,2.6,5,2.718,4.658,1.99,13.434,25.17,-13.486,-37.16,-41.193,-35.524,,1,0,,>,50,4.301,0.518,0,-100,17,-19.248,1.2,5,-4.648,2.824,8.605,25.536,3.291,-16.647,-19.248,-7.258,-8.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,115950058,6464905,Active,61,,,=,0.915,6.038,2,61,,=,0.857,6.067,0.64,4.045,-100,36,-74.788,5,5,-4.015,-12.137,-13.108,-18.375,-33.199,-42.864,-55.793,-64.064,-74.788,,2,60,,=,0.974,6.012,0.596,8.325,-100,17,-71.403,5,5,0.045,-7.189,-12.047,-8.576,-24.951,-41.228,-48.724,-59.633,-71.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,115950059,2376084,Active,63,,,=,0.574,6.241,2,61,,=,0.792,6.101,1.5,10.496,-50.332,34,-46.355,5,5,3.246,5.853,12.863,21.016,-0.312,-17.421,-30.649,-40.26,-46.355,,2,64,,=,0.355,6.449,1.5,14.583,-33.425,17,-30.301,5,5,5.851,7.496,28.531,16.963,-9.053,-29.422,-27.296,-28.435,-30.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,115950060,9566902,Active,75,,,=,0.032,7.495,2,75,,=,0.035,7.451,1.027,0,-81.084,36,-82.799,5,5,-26.351,-43.095,-57.056,-66.861,-71.326,-74.484,-77.494,-81.588,-82.799,,2,75,,=,0.029,7.536,1.331,0,-83.651,18,-85.165,2.6,5,-29.322,-51.102,-67.374,-73.002,-79.923,-81.319,-83.261,-85.165,-83.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,115950061,8272034,Active,68,,,=,0.168,6.775,2,69,,=,0.139,6.856,0.82,5.353,-94.647,36,-87.956,2.6,5,-10.987,-21.761,-33.048,-48.034,-60.56,-69.082,-81.343,-87.956,-87.937,,2,67,,=,0.197,6.705,1.111,0,-89.282,18,-86.509,5,5,-1.112,-11.584,-28.07,-39.237,-54.829,-66.716,-79.224,-85.809,-86.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,115950062,9689721,Inconclusive,0,,,,,,2,61,,=,0.791,6.102,1.442,40,-89.313,36,-80.642,5,5,36.079,39.093,41.457,27.075,12.562,-11.983,-41.617,-70.595,-80.642,,1,0,,,,,,52.347,52.347,18,88.673,0.6,5,39.069,37.059,69.511,84.298,78.632,88.673,78.226,22.606,-26.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,115950063,2409986,Active,81,,,=,0.013,7.903,2,77,,<,0.02,7.71,0.676,0,-92.576,36,-92.877,2.6,5,-58.764,-71.828,-78.549,-81.221,-84.119,-86.22,-90.349,-92.877,-91.009,,2,77,,<,0.02,7.71,1.031,0,-91.579,18,-93.615,2.6,5,-46.361,-66.785,-75.36,-81.847,-85.43,-88.338,-90.923,-93.615,-90.783,,2,89,,=,0.001,8.922,0.748,13.872,-95.765,40,-98.094,5,5,,13.273,8.051,,6.283,,-2.536,,-5.511,,-9.648,,-30.36,,-38.544,,-54.376,,-70.882,,-77.604,,-83.666,,-87.418,,-89.333,,-90.926,,-92.433,,-94.472,-95.285,-97.34,-98.094,,2,80,,=,0.009,8.042,0.56,3.171,-99.605,40,-97.875,5,5,,-1.165,-0.855,,-2.44,,-4.608,,-5.359,,-3.985,,-13.63,,-21.214,,-29.519,,-44.871,,-50.422,,-60.249,,-69.342,,-73.143,,-77.295,,-86.037,,-92.146,-93.601,-96.989,-97.875,
18,115950064,5344820,Active,64,,,=,0.731,6.136,2,68,,=,0.158,6.801,1.116,-0.332,-95.943,36,-94.082,2.6,5,-10.139,-16.353,-30.911,-48.464,-64.643,-77.813,-87.588,-94.082,-92.088,,2,59,,=,1.357,5.867,1.395,50,-100,17,-76.165,5,5,51.269,69.103,55.075,48.698,32.055,14.289,-22.101,-55.66,-76.165,,2,71,,=,0.071,7.147,0.653,3.718,-108.488,40,-99.052,5,5,,2.896,7.382,,0.669,,1.92,,0.415,,4.252,,0.833,,-4.346,,-11.274,,-13.953,,-25.403,,-29.062,,-36.751,,-48.195,,-70.021,,-79.433,,-88.643,-94.903,-97.806,-99.052,,2,59,,=,1.336,5.874,2.484,14.455,-88.709,40,-90.085,5,5,,1.469,1.971,,-3.446,,-0.406,,-2.68,,-7.877,,2.533,,4.539,,8.042,,21.444,,31.209,,35.834,,36.134,,37.935,,43.654,,20.237,,1.607,-35.158,-64.144,-90.085,
19,115950065,2483332,Active,57,,,=,2.165,5.665,2,59,,=,1.366,5.865,1.071,-0.485,-100,36,-79.2,5,5,0.063,-4.859,-4.524,-7.484,-14.355,-31.487,-48.215,-64.96,-79.2,,2,55,,=,2.964,5.528,1.428,0.912,-100,18,-66.694,5,5,-1.52,0.864,0.126,-0.605,-2.344,-2.997,-25.231,-44.493,-66.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,115950066,807603,Active,58,,,=,1.748,5.757,2,60,,=,0.955,6.02,1.5,30,-100,36,-87.616,5,5,36.631,36.889,34.911,24.954,12.666,-15.731,-46.634,-81.432,-87.616,,2,56,,=,2.542,5.595,1.221,69.776,-100,16,-43.165,5,5,51.366,71.953,60.478,65.983,79.169,50.253,13.241,-18.778,-43.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,115950067,3903461,Active,82,,,=,0.011,7.959,2,77,,<,0.02,7.71,0.5,0,-91.326,36,-91.011,2.6,5,-73.435,-80.711,-81.759,-82.757,-84.52,-87.437,-89.823,-91.011,-88.861,,2,77,,<,0.02,7.71,0,-83.528,-83.528,18,-88.545,2.6,5,-73.553,-81.692,-82.764,-83.364,-84.529,-84.02,-86.796,-88.545,-86.488,,2,90,,=,0.001,9.006,0.996,11.149,-93.072,40,-95.509,2.6,5,,6.074,10.083,,9.583,,7.064,,-8.922,,-7.642,,-28.167,,-50.684,,-60.628,,-75.375,,-82.524,,-87.792,,-89.261,,-90.534,,-90.607,,-92.177,,-93,-93.866,-95.509,-95.206,,2,85,,=,0.003,8.548,0.771,-0.978,-82.998,40,-89.082,5,5,,-9.168,-4.332,,-1.942,,-3.388,,-8.275,,-6.377,,-16.989,,-30.298,,-42.273,,-56.187,,-62.511,,-67.729,,-67.8,,-70.642,,-73.684,,-77.117,,-83.106,-84.964,-87.581,-89.082,
22,115950068,50944056,Active,78,,,=,0.018,7.745,2,77,,<,0.02,7.71,0.5,0,-92.136,36,-91.726,2.6,5,-65.691,-74.068,-76.313,-78.124,-80.282,-84.591,-87.724,-91.726,-90.733,,2,77,,<,0.02,7.71,0.5,0,-88.764,18,-87.163,2.6,5,-55.869,-67.407,-72.023,-74.792,-75.932,-78.908,-82.816,-87.163,-86.149,,2,83,,=,0.005,8.314,0.975,-1.705,-93.984,39,-97.419,5,5,,-10.715,0.85,,0.703,,-2.652,,-1.241,,6.355,,-14.056,,-21.191,,-31.805,,-46.465,,-65.255,,-77.139,,-83.186,,-85.16,,-88.722,,-91.036,,-92.111,-93.764,-95.644,-97.419,,2,76,,=,0.027,7.57,0.724,1.38,-90.742,40,-94.777,5,5,,-2.309,0.88,,1.079,,-3.584,,-5.06,,1.764,,-0.797,,-4.55,,-8.054,,-17.229,,-28.399,,-44.555,,-59.451,,-59.317,,-66.422,,-73.906,,-76.506,-82.942,-91.099,-94.777,
